tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
base,Ust.jpg,Alt.jpg,ok,ok,71.1,155/70 R13,5.0,75T,1.94,Continental,14.44,EcoContact 6,6.69,Yaz,3.6,,0.0,S2W2R3B | 03H536 | 1POLYESTER | 70R1375T | 52W2R3B | CONTACT6,Romania,2.29,Tüpsüz,4.07
0,Ust_0.jpg,Alt_0.jpg,ok,ok,67.8,155/70 R13,3.23,387KG,1.11,Continental,20.6,EcoContact 6,8.22,Yaz,4.44,1526,0.97,S2W2R3B | 03H536 | 1POLYESTER | 70R1375T | 1POYAHC | 70R13,Romania,2.3,Tüpsüz,3.31
1,Ust_1.jpg,Alt_1.jpg,ok,ok,61.0,205/55 R16,6.21,91H,2.91,Continental,13.3,PremiumContact 6,6.58,Yaz,3.57,5025,1.86,S2W2R3B | 032PFY | 55R16 | AXLOAD615,,0.0,Tüpsüz,4.3
2,Ust_2.jpg,Alt_2.jpg,ok,ok,50.4,205/55 R16,4.32,91H,2.98,Kumho,9.52,EcoWing ES31,4.37,Yaz,0.99,1326,2.64,127 | LMYAEA | 205 | 55 | R16 | 91H,Korea,1.22,Tüpsüz,3.35
3,Ust_3.jpg,Alt_3.jpg,ok,ok,53.0,205/55 R16,4.24,91H,2.05,Kumho,10.28,EcoWing ES31,3.67,Yaz,0.95,1326,1.0,55R1691H | S2W2R3B | 55R16 | 127 | LMYAEA | 205,,0.0,Tüpsüz,3.26
4,Ust_4.jpg,Alt_4.jpg,ok,ok,57.2,205/55 R16,2.15,,0.0,Kumho,7.93,EcoWing ES31,3.48,,0.0,1326,1.02,55R1691H | 615KG | 127 | LMYAEA | S2W2R3B | 55R16,Korea,1.2,Tüpsüz,2.23
5,Ust_5.jpg,Alt_5.jpg,ok,ok,56.1,155/70 R13,7.17,75T,2.96,Continental,18.31,EcoContact 6,5.06,Yaz,2.75,1526,1.0,03H536 | 1POLYESTER | S2W2R3B | 70R1375T | 52W2R3B | 70R13,Romania,1.18,Tüpsüz,4.31
6,Ust_6.jpg,Alt_6.jpg,ok,ok,60.9,205/55 R16,4.11,H,1.36,Continental,17.25,PremiumContact 6,5.56,Yaz,3.53,5025,0.97,S2W2R3B | 55R1691H | 2STEE | 032PFY | 1POLYESTER | 1FOLYESTER,Czech,2.24,Tüpsüz,3.27
7,Ust_7.jpg,Alt_7.jpg,ok,ok,48.0,205/55 R16,3.12,91H,2.85,Kumho,6.98,EcoWing ES31,4.38,Yaz,1.64,,0.0,55R1691H | 127 | LMYAEA | 13261 | 205 | 55,,0.0,Tüpsüz,2.22
8,Ust_8.jpg,Alt_8.jpg,ok,ok,63.5,155/70 R13,7.3,75T,3.9,Continental,23.28,EcoContact 6,6.3,Yaz,2.75,1526,1.01,S2W2R3B | 1POLYESTER | 03H536 | 70R13 | 70R1375T | 2432551S,Romania,1.2,Tüpsüz,4.38
